Date,Open,High,Low,Close,Volume
10-Jul-14,90.89,91.85,90.80,91.39,33566
9-Jul-14,92.85,93.13,92.54,92.97,52014
8-Jul-14,93.47,93.62,92.50,92.86,46938
7-Jul-14,95.00,95.23,94.08,94.24,40444
3-Jul-14,95.42,96.00,95.42,95.72,27891
2-Jul-14,95.18,95.35,94.92,95.12,39864
1-Jul-14,94.09,95.00,93.70,94.69,49501
30-Jun-14,93.10,93.75,92.92,93.37,53712
27-Jun-14,93.00,93.30,92.93,93.28,45920
26-Jun-14,93.04,93.06,91.91,92.97,42214
25-Jun-14,93.67,93.95,93.32,93.94,65107
24-Jun-14,94.21,94.21,93.24,93.52,43542
23-Jun-14,94.88,94.88,93.50,93.58,43205
20-Jun-14,96.07,96.07,95.04,95.27,46200
19-Jun-14,96.03,96.03,95.23,95.45,29346
18-Jun-14,94.40,95.49,94.38,95.25,62512
17-Jun-14,93.80,94.57,93.80,94.56,23891
16-Jun-14,93.74,94.12,93.72,93.93,22160
13-Jun-14,93.35,93.61,92.91,93.30,32864
12-Jun-14,94.14,94.41,93.59,93.66,23571
11-Jun-14,94.17,94.51,94.00,94.00,26122
10-Jun-14,94.90,95.20,94.65,95.00,26516
9-Jun-14,94.67,95.26,94.62,94.97,39796
6-Jun-14,95.94,96.19,95.48,95.75,23207
5-Jun-14,95.20,96.22,94.82,96.02,48991
4-Jun-14,93.84,94.53,93.84,94.24,14576
3-Jun-14,94.64,95.16,94.64,95.00,23955
2-Jun-14,94.77,94.77,93.86,94.44,18338
30-May-14,95.15,95.41,95.01,95.15,23337
29-May-14,94.62,94.90,94.40,94.89,32617
28-May-14,94.40,94.50,93.58,93.93,36286
